title,name,hindex,ranking,year,id,link,deadline,abstract_deadline,timezone,start,end,date,place,sub,note
IROS,International Conference on Intelligent Robots and Systems,58,,2022,iros22,https://iros2022.org/,03.01.2021 23:59,,estimated,10/23/2022,10/27/2022,,Kyote- Japan,RO,
WACV,Winter Conference on Applications of Computer Vision,54,A,2022,wacv22,http://wacv2022.thecvf.com/,06.02.2021 23:59,,America/Los_Angeles,01.04.2022,01.08.2022,,Waikoloa- Hawaii- USA,CV,Second round submission deadline on Aug. 11th 2021
WSDM,Web Search and Data Mining,54,,2022,wsdm22,https://www.wsdm-conference.org/2022/,08.09.2021 23:59,,UTC-12,2/21/2022,2/25/2022,,Phoenix- Arizona- USA,DM,
AAAI,Association for the Advancement of Artificial Intelligence,95,,2022,aaai22,https://aaai.org/Conferences/AAAI-22/,09.08.2021 23:59,8/30/2021 23:59,UTC-12,2/22/2022,03.01.2022,,Vancouver- Canada,ML,Mandatory abstract deadline on August 30- 2021
ICRA,IEEE International Conference on Robotics and Automation,94,,2022,icra22,https://icra2022.org/,9/14/2021 23:59,,America/Los_Angeles,5/23/2022,5/27/2022,,Philadelphia (PA)- USA,RO,
ICLR,International Conference on Learning Representations,203,A,2022,iclr22,https://iclr.cc/,10.05.2021 17:00,9/28/2021 17:00,UTC-7,4/25/2022,4/29/2022,,Online,ML,Mandatory abstract deadline on September 28- 2021. More info <a href='https://iclr.cc/Conferences/2022/CallForPapers'>here</a>.
ICASSP,IEEE International Conference on Acoustics- Speech and Signal Processing,80,,2022,icassp22,https://2022.ieeeicassp.org/,10.06.2021 23:59,,UTC,5/22/2022,5/27/2022,,Singapore,SP,
AAMAS,Autonomous Agents and Multiagent Systems,25,,2022,aamas22,https://aamas2022-conference.auckland.ac.nz/,10.08.2021 23:59,10.01.2021 23:59,UTC-12,05.11.2022,5/13/2022,,Auckland- New Zealand,ML,
AISTATS,Society for Artificial Intelligence and Statistics,57,,2022,aistats22,https://www.aistats.org/aistats2022/,10/15/2021 11:59,,UTC,3/30/2022,04.01.2022,,Valencia- Spain,ML,Mandatory abstract deadline on Oct 8- 2021. More info <a href='http://www.aistats.org/aistats2022/cfp.html'>here</a>.
ACL,Association for Computational Linguistics,157,,2022,acl22,https://2022.aclweb.org/,11/15/2021 23:59,,UTC-12,5/22/2022,5/27/2022,,Dublin- Ireland,NLP,
CVPR,IEEE/CVF International Conference on Computer Vision and Pattern Recognition,299,A,2022,cvpr22,http://cvpr2022.thecvf.com/,11/16/2021 23:59,,America/Los_Angeles,6/21/2022,6/24/2022,,New Orleans- Louisiana- USA,CV,
ICME,IEEE International Conference on Multimedia and Expo,30,,2022,icme22,http://2022.ieeeicme.org/,12.12.2021 23:59,,America/Los_Angeles,7/18/2022,7/22/2022,,Taipei- Taiwan,CV,
ICAPS,International Conference on Automated Planning and Scheduling,28,,2022,icaps22,http://icaps22.icaps-conference.org/,12/15/2021 23:59,12.10.2021 23:59,UTC-12,6/19/2022,6/24/2022,,Singapore,ML,Abstract Deadline December 10- 2021
MIDL,Medical Imaging with Deep Learning,-1,,2022,midl2022,https://2022.midl.io/,12/17/2021 17:00,,UTC,07.06.2022,07.08.2022,,Zuerich- Switzerland,CV,
LREC,Language Resources and Evaluation,38,,2022,lrec22,http://elra.info/en/lrec/lrec-2022/,01.10.2022 23:59,,Europe/Paris,6/20/2022,6/25/2022,,Marseille- France,NLP,
IJCAI,International Joint Conference on Artificial Intelligence,105,A,2022,ijcai22,https://ijcai-22.org/,1/14/2022 23:59,01.07.2022 23:59,UTC-12,,,,Vienna- Austria,ML,
NAACL,North American Chapter of the Association for Computational Linguistics,105,,2022,naacl22,https://2022.naacl.org/,1/15/2022 23:59,,UTC-12,07.10.2022,7/15/2022,,Seattle- Washington- USA,NLP,
ICPR,International Conference on Pattern Recognition,69,B,2022,icpr22,https://www.icpr2022.com/,1/17/2022 23:59,,,8/21/2022,8/25/2022,,Montreal- Canada,ML,Registration Deadline on January 10- 2022
RSS,Robotics: Science and Systems,47,,2022,rss22,https://roboticsconference.org/,1/28/2022 23:59,,estimated,6/27/2022,07.01.2022,,New York City- USA,RO,
SIGIR,Special Interest Group on Information Retrieval,57,,2022,sigir22,https://sigir.org/sigir2022/,1/31/2022 23:59,1/24/2022 23:59,estimated,07.11.2022,7/15/2022,,Madrid- Spain,DM,
ICIP,IEEE International Conference in Image Processing,74,B,2022,icip22,https://2022.ieeeicip.org/,2/16/2022 23:59,,,10/16/2022,10/19/2022,,Bordeaux- France,CV,
Interspeech,Interspeech,81,,2022,interspeech22,https://interspeech2022.org/,3/28/2022 23:59,,estimated,9/18/2022,9/22/2022,,Incheon- Sout Korea,SP,
ICMLA,IEEE International Conference on Machine Learning and Applications,,C,2022,icmla22,https://www.icmla-conference.org/icmla22/,07.03.2022 23:59,,estimated,,,,TBA,ML,Deadline Estimation
SDM,Society for Industrial and Applied Mathematics,33,,2022,sdm22,https://www.siam.org/conferences/cm/conference/an22,10.01.2022 23:59,,UTC-4,07.11.2022,7/15/2022,,Hybrid,DM,
RecSys,Recommender Systems,45,,2022,recsys22,https://recsys.acm.org/recsys22/,TBA,,,9/18/2022,9/23/2022,,Seattle- Washington- USA,DM,
MICCAI,Medical Image Computing and Computer Assisted Intervention,46,,2022,miccai2022,http://www.miccai2022.org/,TBA,,,9/18/2022,9/22/2022,,Singapore,CV,
CHIL,Conference on Health- Inference- and Learning,-1,,2022,chil22,https://www.chilconference.org/,TBA,,,,,,TBA,ML,
SIGGRAPH,Special Interest Group on Computer Graphics and Interactive Techniques,19,,2022,siggraph22,https://s2022.siggraph.org/,TBA,,,08.07.2022,08.11.2022,,Vancouver- BC- Canada,CV,
ICML,International Conference on Machine Learning,135,,2022,icml22,https://icml.cc/Conferences/2022,TBA,,,7/17/2022,7/23/2022,,Baltimore- Maryland USA,ML,
NeurIPS,Neural Information Processing Systems,198,A,2022,neurips22,https://neurips.cc/Conferences/2022/,TBA,,,11/26/2022,12.04.2022,,New Orleans- Louisiana- USA,ML,
WSC,Winter Simulation Conference,,B,2022,wsc22,http://meetings.informs.org/wordpress/wsc2022/,4/10/2022 23:59,4/10/2022 23:59,UTC-12,12.11.2022,12/14/2022,11/12/2022 23:59,Singapore,SIM,D-SIMLAB is co-hosting partner
SMMSO,Stochastic models for manufacturing and service operations,,,2022,,http://smmso.org/,,,,,,,"Grenoble- France (""probably"")",ST,
StochMod,Stochastic Modelling Meeting,,,,,https://www.stochmod.eu/News/,,,,,,,,ST,
ECQT,European Conference on Queuing Theory,,,,,,,,,,,,,ST,
WGTL,Wissenschaftliche Gesellschaft für Technische Logistik,,,,,http://www.wgtl.de/sites_de/02_veranstaltungen.html,,,,,,,,,
APMS,Advances in Production Management Systems,,,2022,,https://www.apms-conference.org/,,,,09/29/2022,09/25/2022,,Gyeongju- Korea,ST,
ISSL,International Scientific Symposium on Logistics,,,,,,,,,,,,,OR,
IMHRC,International Material Handling Research Colloquium,,,,,,,,,,,,,OR,
INFORMS,International Conference on Operations Research,,B,2022,,https://www.or2022.de/,,,,06.09.2022,09.09.2022,,Karlsruhe- Germany,OR,
EURO,European Conference on Operational Research,,B,2022,,https://euro2022espoo.com/,"Early Registration: 25 March 2022, Author Registration 08 April 2022",04.03.2022,,03.07.2022,06.07.2022,,Espo- Finland,OR,
GOR,Gesellschaft für Operations Research,,,,,,,,,,,,,OR,
QBWL,Workshop,,,2022,,https://qbwl.de/News,,31.01.2022,,03/28/2022,03/29/2022,,online,OR,
ICCL,International Conference on Computational Logistics,,,,,,,,,,,,,,
ETFA,IEEE Emerging Technologies and Factory Automation,,B1,2022,,https://2022.ieee-etfa.org/,,,,06.09.2022,09.09.2022,,Stuttgart- Germany,ML,
IROS,IEEE International Conference on intelligent robots and systems,,A,2022,,https://iros2022.org/,,,,10/23/2022,10/27/2022,,Kyoto- Japan,RO,
ICRA,IEEE International Conference on Robotics and Automation,,B,2022,,https://www.icra2022.org/,,,,05/23/2022,05/27/2022,,Philadelphia- USA,RO,
CASE,IEEE International Conference on Automation Science and Engineering,,B,2022,,http://www.case2022.org/,,,,08/20/2022,08/24/2022,,Mexico City- Mexico,ML,
ICCPS,IEEE/ACM International Conference on Cyber-Physical Systems,,,2022,,https://iccps.acm.org/2022/,,22.10.2021,,04.05.2022,06.05.2022,,Milan- Italy,RO,
SysCon,IEEE International Systems Conference,,C,2022,,https://2022.ieeesyscon.org/,,,,04/25/2022,04/28/2022,,Montreal- Canada,RO,
